"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Genus.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"25","Multi_ASVs_Merged_rbcL_dada2","38fd1a4cf943aa7dcd8d3d8ee3f17ab8","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Trifolium","Y",0.995743568182675,1323,147,10,0,0,77,0,0,1391,0,0,910,0,0
"26","Single_ASV_in_Data_rbcL_dada2","2885d204c9d51ce22a763ba33f3350b2","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Argyrolobium","N",0.731277247960292,0,0,0,0,0,0,3708,0,0,0,0,0,0,0
"27","Multi_ASVs_Merged_rbcL_dada2","115eac1187437628f3b49180f570397c","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Pyrus","Y",0.858303382192679,0,0,1172,0,0,2545,0,0,0,0,0,0,0,0
"28","Single_ASV_in_Data_rbcL_dada2","f9818a9a5a1880b3acae70e2143ff671","Viridiplantae","Streptophyta","Liliopsida","Asparagales","Xanthorrhoeaceae","Phormium","Y",0.999969017385311,0,0,0,0,3513,85,0,0,0,0,0,0,0,0
"29","Single_ASV_in_Data_rbcL_dada2","4124a5983ba793a2f3a77319d5b6d8e5","Viridiplantae","Streptophyta","rosids","Myrtales","Myrtaceae","Eucalyptus","Y",0.989424790263117,0,0,0,0,0,0,0,0,0,0,0,0,0,2847
"30","Multi_ASVs_Merged_rbcL_dada2","a36f74643e9ba2743b22a55818332c46","Viridiplantae","Streptophyta","rosids","Malpighiales","Hypericaceae","Cratoxylum","N",0.991879273975232,1902,932,0,0,0,0,0,0,0,0,0,0,0,0
"31","Multi_ASVs_Merged_rbcL_dada2","9533af7a8bca81f12ac8f986e5ef7db4","Viridiplantae","Streptophyta","rosids","Rosales","Rosaceae","Rosa","Y",0.798942676816569,854,0,755,0,1869,36,0,0,0,0,0,0,0,0
"32","Multi_ASVs_Merged_rbcL_dada2","40c939c2af6adecc6aefebd0066c191f","Viridiplantae","Streptophyta","rosids","Sapindales","Rutaceae","Zanthoxylum","Y",0.997478462370181,0,0,0,0,0,2396,0,0,0,0,0,0,0,0
"33","Single_ASV_in_Data_rbcL_dada2","f62346b306183c0fd78b3440ffaebf36","Viridiplantae","Streptophyta","rosids","Fagales","Juglandaceae","Juglans","Y",0.947532565928552,0,0,0,0,0,0,0,0,0,1659,0,0,0,0
"34","Single_ASV_in_Data_rbcL_dada2","a31c14f2dc037dbe8b4ebd59a37f6f69","Viridiplantae","Streptophyta","asterids","Lamiales","Lamiaceae","Salvia","Y",0.905867654307034,1494,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Multi_ASVs_Merged_rbcL_dada2","b42529d6d09f4de053e7c7b521aca535","Viridiplantae","Streptophyta","rosids","Geraniales","Geraniaceae","Geranium","Y",0.999761146069841,0,0,1407,0,0,0,0,0,0,0,0,0,0,0
"36","Multi_ASVs_Merged_rbcL_dada2","01b13ce3192fb083418e654d9a0abb40","Viridiplantae","Streptophyta","","Ranunculales","Papaveraceae","Papaver","Y",0.868902364815974,0,0,1197,0,0,193,0,0,0,0,0,0,0,0
"37","Single_ASV_in_Data_rbcL_dada2","d9d2f1dc7da0c8eb9d474e16da6387b6","Viridiplantae","Streptophyta","asterids","Aquifoliales","Aquifoliaceae","Ilex","Y",0.999999955652782,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
"38","Multi_ASVs_Merged_rbcL_dada2","0db45ae51d36901f4b6e9ceb34152d24","Viridiplantae","Streptophyta","rosids","Malvales","Malvaceae","Lavatera","Y",0.999999736136724,0,0,358,0,0,452,0,0,0,0,0,0,0,0
"39","Single_ASV_in_Data_rbcL_dada2","db3a478698d59353f28a5984821c7961","Viridiplantae","Streptophyta","rosids","Rosales","Rhamnaceae","Ceanothus","Y",0.999857984922353,0,0,741,0,0,0,0,0,0,0,0,0,0,0
"40","Single_ASV_in_Data_rbcL_dada2","ad0bb26a8938b86ec53ad7a757107f06","Viridiplantae","Streptophyta","asterids","Ericales","Actinidiaceae","Actinidia","Y",0.84194532371082,0,0,594,0,0,0,0,0,0,0,0,0,0,0
"41","Single_ASV_in_Data_rbcL_dada2","67c865b34249dfb1d1e7cdee9b6fe2eb","Viridiplantae","Streptophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Y",0.997792794069703,0,0,0,0,0,0,0,0,0,0,0,0,0,528
"42","Single_ASV_in_Data_rbcL_dada2","d78f00b811dacf16530633d818756a4f","Viridiplantae","Streptophyta","","Magnoliales","Magnoliaceae","Magnolia","Y",0.99807370613417,0,0,0,0,0,0,0,0,0,0,0,0,0,401
