Order,Family,Genus,Species,Status,Habit,Habitat,Start,Start_No,Mid,Mid_No,End,End_No,UK,Status_source,Habit_source,Flowering_period_source
Malvales,Malvaceae,Lavatera,Lavatera thuringiaca,Non_native,Perennial herb,Man made,Jun,6,Aug,8,Sep,9,Y,https://pfaf.org/User/Plant.aspx?LatinName=Lavatera+thuringiaca,https://pfaf.org/User/Plant.aspx?LatinName=Lavatera+thuringiaca,https://www.rhs.org.uk/Plants/21850/Lavatera-thuringiaca/Details
Asterales,Asteraceae,Leontodon,Leontodon hispidus,Native,Perennial herb,"Wide range, calcareous soils",Jun,6,Aug,8,Sep,9,Y,https://pfaf.org/user/plant.aspx?LatinName=Leontodon+hispidus,https://pfaf.org/user/plant.aspx?LatinName=Leontodon+hispidus,https://pfaf.org/user/plant.aspx?LatinName=Leontodon+hispidus
Asterales,Asteraceae,Leontodon,NA,Native,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Asterales,Asteraceae,Leucanthemum,Leucanthemum vulgare,Native,Perennial herb,Wide range,Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Lamiales,Oleaceae,Ligustrum,Ligustrum lucidum,Non_native,Shrub,Man made,Aug,8,Sep,9,Sep,9,Y,NA,NA,NA
Lamiales,Oleaceae,Ligustrum,Ligustrum obtusifolium,Non_native,Shrub,Man made,Jul,7,Jul,7,Jul,7,Y,NA,NA,NA
Lamiales,Oleaceae,Ligustrum,Ligustrum ovalifolium,Neophyte,Shrub,Man made,Jul,7,Jul,7,Jul,7,Y,"Stace, C. New Flora Of The British Isles, Third Edition",https://pfaf.org/user/plant.aspx?latinname=Ligustrum+ovalifolium,https://pfaf.org/user/plant.aspx?latinname=Ligustrum+ovalifolium
Lamiales,Oleaceae,Ligustrum,NA,Broad,Shrub,Wide range,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Lamiales,Oleaceae,Ligustrum,Ligustrum strongylophyllum,Non_native,Shrub,Man made,Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Lamiales,Oleaceae,Ligustrum,Ligustrum vulgare,Native,Shrub,Man made,Jun,6,Jul,7,Jul,7,Y,NA,NA,NA
Laurales,Lauraceae,Lindera,NA,Non_native,Shrub,Man made,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Malpighiales,Linaceae,Linum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poales,Poaceae,Lolium,Lolium perenne,Native,Graminoid,Wide range,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Dipsacales,Caprifoliaceae,Lonicera,NA,Neophyte,Shrub,Man made,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fabales,Fabaceae,Lotus,Lotus corniculatus,Native,Perennial herb,"Wide range, calcareous soils",Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Myrtales,Lythraceae,Lythrum,Lythrum salicaria,Native,Perennial herb,"Man made, moist soils",Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Rosales,Rosaceae,Malus,NA,Broad,"Shrub, Tree",Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Malus,Malus sieversii,Non_native,Tree,Man made,May,5,May,5,May,5,Y,NA,NA,NA
Malvales,Malvaceae,Malva,Malva moschata,Native,Perennial herb,Man made,Jul,7,Aug,8,Aug,8,Y,NA,NA,NA
Lamiales,Mazaceae,Mazus,NA,Non_native,Perennial herb,Man made,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Fabales,Fabaceae,Melilotus,Melilotus albus,Neophyte,Annual,Man made,Jul,7,Aug,8,Aug,8,Y,NA,NA,NA
Fabales,Fabaceae,Melilotus,Melilotus altissimus,Neophyte,Biennial,Disturbed habitats,Jun,6,Jul,7,Aug,8,Y,"Stace, C. New Flora Of The British Isles, Third Edition",https://pfaf.org/user/Plant.aspx?LatinName=Melilotus+altissimus,https://pfaf.org/user/Plant.aspx?LatinName=Melilotus+altissimus
Fabales,Fabaceae,Melilotus,Melilotus indicus,Neophyte,Annual,Man made,Jun,6,Aug,8,Oct,10,Y,NA,NA,NA
Fabales,Fabaceae,Melilotus,Melilotus officinalis,Neophyte,Biennial,Wide range,Jul,7,Aug,8,Sep,9,Y,https://pfaf.org/user/plant.aspx?LatinName=Melilotus+officinalis,https://pfaf.org/user/plant.aspx?LatinName=Melilotus+officinalis,https://pfaf.org/user/plant.aspx?LatinName=Melilotus+officinalis
Rosales,Rosaceae,Mespilus,Mespilus germanica,Native,Tree,Man made,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Boraginales,Boraginaceae,Myosotis,NA,Native,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alismatales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Apiales,Apiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Caryophyllales,Polygonaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Lamiales,Lamiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Magnoliales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Malpighiales,Passifloraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Malvales,Malvaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Poales,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Rosales,Rosaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Sapindales,Rutaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Dioscoreales,Nartheciaceae,Narthecium,Narthecium ossifragum,Native,Perennial herb,Wetland,Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,Non_native,Annual,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Asterales,Menyanthaceae,Nymphoides,Nymphoides peltata,Native,Perennial herb,Wetland,Apr,4,Jul,7,Oct,10,Y,NA,NA,NA
Myrtales,Onagraceae,Oenothera,Oenothera stricta,Neophyte,Biennial,Man made,May,5,Aug,8,Nov,11,Y,NA,NA,NA
Lamiales,Oleaceae,Olea,Olea europaea,Non_native,Tree,Man made,Aug,7,Sep,9,Sep,9,Y,https://pfaf.org/user/Plant.aspx?LatinName=Olea+europaea,https://pfaf.org/user/Plant.aspx?LatinName=Olea+europaea,https://pfaf.org/user/Plant.aspx?LatinName=Olea+europaea
Lamiales,Lamiaceae,Origanum,Origanum vulgare,Native,Perennial herb,"Man made, calcareous soils",Jul,7,Aug,8,Sep,9,Y,NA,NA,NA
Orthotrichales,Orthotrichaceae,Orthotrichum,Orthotrichum rogeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Ranunculales,Papaveraceae,Papaver,Papaver rhoeas,Native,Annual,"Man made, Disturbed habitats",Jun,6,Jul,7,Aug,8,Y,https://pfaf.org/user/Plant.aspx?LatinName=Papaver+rhoeas,https://pfaf.org/user/Plant.aspx?LatinName=Papaver+rhoeas,https://pfaf.org/user/Plant.aspx?LatinName=Papaver+rhoeas
Ranunculales,Papaveraceae,Papaver,NA,Native/Neophyte,Annual,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Ranunculales,Papaveraceae,Papaver,Papaver somniferum,Non_native,Annual,Man made,Jul,7,Jul,7,Aug,8,Y,https://pfaf.org/user/plant.aspx?LatinName=Papaver+somniferum,https://pfaf.org/user/plant.aspx?LatinName=Papaver+somniferum,https://pfaf.org/user/plant.aspx?LatinName=Papaver+somniferum
Malpighiales,Passifloraceae,Passiflora,Passiflora caerulea,Non_native,Vine,Man made,Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Apiales,Apiaceae,Pastinaca,Pastinaca sativa,Native,Biennial,"Man made, calcareous soils",Jul,7,Aug,8,Aug,8,Y,NA,NA,NA
Apiales,Apiaceae,Pastinaca,NA,Native,Biennial,"Man made, calcareous soils",NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Geraniales,Geraniaceae,Pelargonium,NA,Non_native,Perennial herb,Man made,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boraginales,Boraginaceae,Pentaglottis,Pentaglottis sempervirens,Neophyte,Perennial herb,Wide range,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Apiales,Apiaceae,Peucedanum,Peucedanum gallicum,Non_native,Perennial herb,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Boraginales,Hydrophyllaceae,Phacelia,Phacelia tanacetifolia,Neophyte,Annual,Man made,Jul,7,Aug,8,Sep,9,Y,NA,NA,NA
Fabales,Fabaceae,Phaseolus,Phaseolus coccineus,Non_native,Vine,Man made,Jul,7,Aug,8,Sep,9,Y,https://pfaf.org/user/plant.aspx?LatinName=Phaseolus+coccineus,https://pfaf.org/user/plant.aspx?LatinName=Phaseolus+coccineus,https://pfaf.org/user/plant.aspx?LatinName=Phaseolus+coccineus
Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,Non_native,Vine,Man made,Jul,7,Aug,8,Sep,9,Y,NA,NA,NA
Saxifragales,Crassulaceae,Phedimus,Phedimus spurius,Non_native,Perennial herb,Man made,Jul,7,Aug,8,Aug,8,Y,NA,NA,NA
Asparagales,Xanthorrhoeaceae,Phormium,Phormium cookianum,Non_native,Shrub,Man made,Jul,7,Aug,8,Aug,8,Y,NA,NA,NA
Asparagales,Xanthorrhoeaceae,Phormium,Phormium tenax,Non_native,Perennial herb,Man made,Jun,6,Jul,7,Jul,7,Y,NA,NA,NA
Lamiales,Phrymaceae,Phryma,Phryma leptostachya,Non_native,Perennial herb,Man made,Jun,6,Jun,6,Jul,7,Y,https://pfaf.org/user/plant.aspx?latinname=Phormium+tenax,https://pfaf.org/user/plant.aspx?latinname=Phormium+tenax,https://pfaf.org/user/plant.aspx?latinname=Phormium+tenax
Fabales,Fabaceae,Piptanthus,Piptanthus leiocarpus,Non_native,Shrub,Man made,May,5,Jun,6,Jun,6,Y,https://www.rhs.org.uk/plants/13167/Piptanthus-nepalensis/Details,https://www.rhs.org.uk/plants/13167/Piptanthus-nepalensis/Details,https://www.rhs.org.uk/plants/13167/Piptanthus-nepalensis/Details
Rosales,Rosaceae,Physocarpus,NA,Neophyte,Shrub,Man made,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Lamiales,Plantaginaceae,Plantago,Plantago lanceolata,Native,Perennial herb,Wide range,Apr,4,Jun,6,Aug,8,Y,NA,NA,NA
Malpighiales,Salicaceae,Populus,Populus balsamifera,Neophyte,Tree,Man made,May,5,May,5,May,5,Y,NA,NA,NA
Malpighiales,Salicaceae,Populus,NA,Neophyte,Tree,Man made,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malpighiales,Salicaceae,Populus,Populus laurifolia,Neophyte,Tree,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Malpighiales,Salicaceae,Populus,Populus nigra,Neophyte,Tree,Man made,Apr,4,Apr,4,Apr,4,Y,NA,NA,NA
Malpighiales,Salicaceae,Populus,Populus trichocarpa,Neophyte,Tree,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Rosales,Rosaceae,Potentilla,Potentilla alba,Neophyte,Shrub,Man made,May,5,Jul,7,Aug,8,,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus avium,Native,Tree,Wide range,Apr,4,May,5,May,5,Y,"Stace, C. New Flora Of The British Isles, Third Edition",https://pfaf.org/user/plant.aspx?latinname=Prunus+avium,https://pfaf.org/user/plant.aspx?latinname=Prunus+avium
Rosales,Rosaceae,Prunus,Prunus buergeriana,Non_native,Tree,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus cerasoides,Non_native,Tree,Man made,Apr,4,Apr,4,Apr,4,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus dulcis,Neophyte,Tree,Man made,Mar,3,Apr,4,Apr,4,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus lusitanica,Neophyte,Shrub,Man made,Jun,6,Jun,6,Jun,6,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus nipponica,Non_native,Shrub,Man made,May,5,May,5,May,5,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus pseudocerasus,Non_native,Shrub,Man made,Mar,3,Mar,3,Mar,3,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus serotina,Neophyte,Tree,Man made,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus serrulata,Neophyte,Tree,Man made,Apr,4,Apr,4,Apr,4,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,NA,Broad,"Shrub, Tree",Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus yedoensis,Non_native,Tree,Man made,Apr,4,Apr,4,Apr,4,Y,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus padus,Native,Tree,Wide range,May,5,May,5,May,5,Y,https://pfaf.org/user/Plant.aspx?LatinName=prunus+padus,https://pfaf.org/user/Plant.aspx?LatinName=prunus+padus,https://pfaf.org/user/Plant.aspx?LatinName=prunus+padus
Rosales,Rosaceae,Prunus,Prunus pensylvanica,Neophyte,Tree,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Polypodiales,Pteridaceae,Pteris,Pteris vittata,Non_native,Fern,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Fabales,Fabaceae,Pueraria,Pueraria montana,Non_native,Vine,Man made,Sep,9,Oct,10,Oct,10,Y,NA,NA,NA
Rosales,Rosaceae,Pyracantha,Pyracantha fortuneana,Non_native,Shrub,Man made,Mar,3,Apr,4,May,5,Y,NA,NA,NA
Rosales,Rosaceae,Pyracantha,NA,Neophyte/Non_native,Shrub,Man made,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Pyrus,NA,Broad,Tree,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Pyrus,Pyrus cordata,Native,Tree,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Rosales,Rosaceae,Pyrus,Pyrus ussuriensis,Non_native,Tree,Man made,Apr,4,Apr,4,Apr,4,Y,NA,NA,NA
Fagales,Fagaceae,Quercus,Quercus ilex,Neophyte,Tree,Man made,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Fagales,Fagaceae,Quercus,NA,Broad,Tree,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranunculales,Ranunculaceae,Ranunculus,NA,Broad,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Brassicales,Brassicaceae,Raphanus,Raphanus sativus,Neophyte,Annual,Man made,Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Brassicales,Resedaceae,Reseda,Reseda luteola,Native,Forb,Disturbed habitats,Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Brassicales,Resedaceae,Reseda,NA,Native,Perennial herb,"Man made, Disturbed habitats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus minor,Native,Annual,Grassland,May,5,Jul,7,Aug,8,Y,NA,NA,NA
Sapindales,Anacardiaceae,Rhus,Rhus glabra,Non_native,Shrub,Man made,Jul,7,Aug,8,Aug,8,Y,NA,NA,NA
