Order,Family,Genus,Species,Status,Habit,Habitat,Start,Start_No,Mid,Mid_No,End,End_No,UK,Status_source,Habit_source,Flowering_period_source
Brassicales,Brassicaceae,Sinapis,Sinapis arvensis,Native,Annual,Disturbed habitats,May,5,Jun,6,Jul,7,Y,https://pfaf.org/user/Plant.aspx?LatinName=Sinapis+arvensis,https://pfaf.org/user/Plant.aspx?LatinName=Sinapis+arvensis,https://pfaf.org/user/Plant.aspx?LatinName=Sinapis+arvensis
Sapindales,Rutaceae,Skimmia,Skimmia arborescens,Non_native,"Shrub, Tree",Man made,Apr,4,May,5,Jun,6,Y,NA,NA,NA
Solanales,Solanaceae,Solanum,Solanum lycopersicum,Non_native,Annual,Man made,Jun,6,Jul,7,Aug,8,Y,NA,NA,NA
Asterales,Asteraceae,Sonchus,NA,Native,Annual/Perennial,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Sorbus,NA,Broad,Shrub,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,Sorbus,Sorbus aucuparia,Native,Tree,Wide range,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Rosales,Rosaceae,Sorbus,Sorbus cambrensis,Non_native,Tree,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Rosales,Rosaceae,Sorbus,Sorbus chamaemespilus,Non_native,Tree,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Rosales,Rosaceae,Sorbus,Sorbus torminalis,Native,Tree,Wide range,Jun,6,Jun,6,Jun,6,Y,NA,NA,NA
Lamiales,Lamiaceae,Stachys,Stachys cretica,Non_native,Perennial herb,Man made,Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Crossosomatales,Stachyuraceae,Stachyurus,Stachyurus praecox,Non_native,Shrub,Man made,Feb,2,Mar,3,Apr,4,Y,NA,NA,NA
Dipsacales,Caprifoliaceae,Succisa,Succisa pratensis,Native,Perennial herb,Wide range,Jul,7,Sep,9,Oct,10,Y,NA,NA,NA
Dipsacales,Caprifoliaceae,Symphoricarpos,Symphoricarpos occidentalis,Non_native,Shrub,Man made,Jun,6,Jun,6,Jul,7,Y,https://pfaf.org/user/Plant.aspx?LatinName=Symphoricarpos+occidentalis,https://pfaf.org/user/Plant.aspx?LatinName=Symphoricarpos+occidentalis,https://pfaf.org/user/Plant.aspx?LatinName=Symphoricarpos+occidentalis
Dipsacales,Caprifoliaceae,Symphoricarpos,NA,Neophyte,Shrub,Wide range,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Asterales,Asteraceae,Symphyotrichum,NA,Non_native,Perennial herb,Man made,Aug,8,Sep,9,Oct,10,N,NA,NA,NA
Boraginales,Boraginaceae,Symphytum,NA,Native/Neophyte,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Lamiales,Oleaceae,Syringa,Syringa josikaea,Non_native,Shrub,Man made,Jun,6,Jun,6,Jun,6,Y,NA,NA,NA
Lamiales,Oleaceae,Syringa,Syringa pubescens,Non_native,"Shrub, Tree",Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
Lamiales,Oleaceae,Syringa,NA,Neophyte/Non_native,"Shrub, Tree",Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllales,Tamaricaceae,Tamarix,Tamarix gallica,Neophyte,"Shrub, Tree",Wide range,Jun,6,Jul,7,Aug,8,Y,https://pfaf.org/user/plant.aspx?latinname=Tamarix+gallica,https://pfaf.org/user/plant.aspx?latinname=Tamarix+gallica,https://pfaf.org/user/plant.aspx?latinname=Tamarix+gallica
Caryophyllales,Tamaricaceae,Tamarix,NA,Neophyte,Shrub,Man made,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterales,Asteraceae,Tanacetum,Tanacetum vulgare,Native,Forb,Scrub,Aug,8,Sep,9,Sep,9,Y,NA,NA,NA
Asterales,Asteraceae,Taraxacum,NA,Native,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malvales,Malvaceae,Theobroma,NA,Non_native,Shrub,Man made,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
Malvales,Malvaceae,Tilia,Tilia americana,Non_native,Tree,Man made,Jul,7,Jul,7,Jul,7,Y,NA,NA,NA
Malvales,Malvaceae,Tilia,Tilia caroliniana,Non_native,Tree,Man made,Jul,7,Jul,7,Jul,7,Y,NA,NA,NA
Malvales,Malvaceae,Tilia,Tilia oliveri,Non_native,Tree,Man made,Jun,6,Jun,6,Jun,6,Y,NA,NA,NA
Malvales,Malvaceae,Tilia,Tilia platyphyllos,Native,Tree,"Man made, woodland",Jun,6,Jul,7,Jul,7,Y,NA,NA,NA
Malvales,Malvaceae,Tilia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arecales,Arecaceae,Trachycarpus,Trachycarpus martianus,Non_native,Tree,Man made,Aug,8,Sep,9,Sep,9,Y,NA,NA,NA
Fabales,Fabaceae,Trifolium,Trifolium hybridum,Neophyte,Annual,Wide range,Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Fabales,Fabaceae,Trifolium,Trifolium occidentale,Native,Perennial herb,Coast,Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Fabales,Fabaceae,Trifolium,Trifolium pratense,Native,Perennial herb,Wide range,May,5,Jul,7,Sep,9,Y,NA,NA,NA
Fabales,Fabaceae,Trifolium,Trifolium repens,Native,Perennial herb,Wide range,Jun,6,Aug,8,Sep,9,Y,https://pfaf.org/user/plant.aspx?LatinName=Trifolium+repens,https://pfaf.org/user/plant.aspx?LatinName=Trifolium+repens,https://pfaf.org/user/plant.aspx?LatinName=Trifolium+repens
Fabales,Fabaceae,Trifolium,NA,Native/Neophyte,Annual/Perennial,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poales,Poaceae,Triticum,Triticum aestivum,Neophyte,Graminoid,Man made,Jun,6,Jul,7,Jul,7,Y,NA,NA,NA
Poales,Poaceae,Triticum,NA,Neophyte,Graminoid,Man made,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Brassicales,Tropaeolaceae,Tropaeolum,NA,Neophyte/Non_native,Vine,"Man made, Disturbed habitats",NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Brassicales,Tropaeolaceae,Tropaeolum,Tropaeolum peregrinum,Non_native,Vine,Man made,Jun,6,Aug,8,Sep,9,Y,NA,NA,NA
Orthotrichales,Orthotrichaceae,Ulota,Ulota crispa,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Rosales,Urticaceae,Urtica,NA,Native,Perennial herb,Wide range,May,5,Aug,8,Oct,10,Y,NA,NA,NA
Ericales,Ericaceae,Vaccinium,NA,Broad,Shrub,"Man made, Heathland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamiales,Scrophulariaceae,Verbascum,Verbascum nigrum,Native,Biennial,"Man made, calcareous soils",Jun,6,Aug,8,Oct,10,Y,NA,NA,NA
Lamiales,Plantaginaceae,Veronica,Veronica americana,Non_native,Perennial herb,"Man made, wetland",Jul,7,Aug,8,Aug,8,Y,https://pfaf.org/user/Plant.aspx?LatinName=Veronica+americana,https://pfaf.org/user/Plant.aspx?LatinName=Veronica+americana,https://pfaf.org/user/Plant.aspx?LatinName=Veronica+americana
Lamiales,Plantaginaceae,Veronica,NA,Native/Neophyte,Perennial herb,Wide range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dipsacales,Adoxaceae,Viburnum,Viburnum tinus,Neophyte,Shrub,Man made,Dec,12,Jan,1,Feb,2,Y,NA,NA,NA
Dipsacales,Adoxaceae,Viburnum,Viburnum acerifolium,Neophyte,Shrub,Man made,May,5,May,5,Jun,6,Y,https://www.classicviburnums.com/index.cfm/fuseaction/plants.plantDetail/plant_id/7033/index.htm,https://www.classicviburnums.com/index.cfm/fuseaction/plants.plantDetail/plant_id/7033/index.htm,https://www.classicviburnums.com/index.cfm/fuseaction/plants.plantDetail/plant_id/7033/index.htm
Fabales,Fabaceae,Vicia,Vicia faba,Neophyte,Annual,Man made,May,5,Jul,7,Aug,8,Y,NA,NA,NA
Fabales,Fabaceae,Vicia,NA,Broad,Annual/Perennial,Wide range,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum clava-herculis,Non_native,Shrub,Man made,May,5,Jun,6,Jun,6,Y,NA,NA,NA
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum piperitum,Non_native,Shrub,Man made,Apr,4,May,5,Jun,6,Y,https://pfaf.org/user/plant.aspx?latinname=Zanthoxylum+piperitum,https://pfaf.org/user/plant.aspx?latinname=Zanthoxylum+piperitum,https://pfaf.org/user/plant.aspx?latinname=Zanthoxylum+piperitum
Poales,Poaceae,Zea,Zea mays,Neophyte,Graminoid,Man made,Jul,7,Sep,9,Oct,10,Y,NA,NA,NA
Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale,Non_native,Perennial herb,Man made,Apr,4,May,5,May,5,Y,NA,NA,NA
